R Branch,R-wavelength(nm),P Branch,P-wavelength(nm)
25, 	1513.2007, 	1, 	1525.7607
24, 	1513.5839, 	2, 	1526.3147
23, 	1513.9733, 	3, 	1526.8751
22, 	1514.3690, 	4, 	1527.4419
21, 	1514.7710, 	5, 	1528.0151
20, 	1515.1793, 	6, 	1528.5946
19, 	1515.5939, 	7, 	1529.1806
18, 	1516.0148, 	8, 	1529.7730
17, 	1516.4419, 	9, 	1530.3718
16, 	1516.8754, 	10,	1530.9770
15, 	1517.3152, 	11,	1531.5886
14, 	1517.7613, 	12,	1532.2067
13, 	1518.2138, 	13, 	1532.8312
12, 	1518.6725, 	14, 	1533.4621
11, 	1519.1376, 	15, 	1534.0995
10, 	1519.6090, 	16, 	1534.7433
9, 	1520.0867, 	17, 	1535.3935
8, 	1520.5707, 	18, 	1536.0502
7, 	1521.0611, 	19, 	1536.7134
6, 	1521.5579, 	20, 	1537.3830
5, 	1522.0610, 	21, 	1538.0590
4, 	1522.5704, 	22, 	1538.7416
3, 	1523.0862, 	23, 	1539.4306
2, 	1523.6084, 	24, 	1540.1261
1, 	1524.1369, 	25, 	1540.8281
